0:0:0:0:0:0:0:1 - - [13/Feb/2024:09:21:19 +0900] "GET /JSPBookProject/resources/assets/js/wow.min.js HTTP/1.1" 200 8157
0:0:0:0:0:0:0:1 - - [13/Feb/2024:09:21:19 +0900] "GET /JSPBookProject/resources/assets/js/tiny-slider.js HTTP/1.1" 200 116640
0:0:0:0:0:0:0:1 - - [13/Feb/2024:09:21:19 +0900] "GET /JSPBookProject/resources/assets/js/glightbox.min.js HTTP/1.1" 200 44919
0:0:0:0:0:0:0:1 - - [13/Feb/2024:09:21:19 +0900] "GET /JSPBookProject/resources/assets/js/count-up.min.js HTTP/1.1" 200 1621
0:0:0:0:0:0:0:1 - - [13/Feb/2024:09:21:19 +0900] "GET /JSPBookProject/resources/assets/js/main.js HTTP/1.1" 200 1451
0:0:0:0:0:0:0:1 - - [13/Feb/2024:09:21:19 +0900] "GET /JSPBookProject/resources/assets/fonts/LineIcons.woff2 HTTP/1.1" 200 51676
0:0:0:0:0:0:0:1 - - [13/Feb/2024:09:21:19 +0900] "GET /JSPBookProject/resources/assets/images/favicon.svg HTTP/1.1" 200 952
0:0:0:0:0:0:0:1 - - [13/Feb/2024:09:38:11 +0900] "GET /JSPBookProject/scripttest/question03.jsp HTTP/1.1" 200 9962
0:0:0:0:0:0:0:1 - - [13/Feb/2024:09:38:23 +0900] "GET /JSPBookProject/scripttest/question03.jsp HTTP/1.1" 200 9962
0:0:0:0:0:0:0:1 - - [13/Feb/2024:09:38:43 +0900] "GET /JSPBookProject/resources/assets/js/bootstrap.min.js.map HTTP/1.1" 404 1145
0:0:0:0:0:0:0:1 - - [13/Feb/2024:09:38:43 +0900] "GET /JSPBookProject/resources/assets/css/bootstrap.min.css.map HTTP/1.1" 404 1147
0:0:0:0:0:0:0:1 - - [13/Feb/2024:09:38:43 +0900] "GET /JSPBookProject/resources/assets/css/sourcemaps/tiny-slider.css.map HTTP/1.1" 404 1160
0:0:0:0:0:0:0:1 - - [13/Feb/2024:09:38:57 +0900] "GET /JSPBookProject/scripttest/question03.jsp HTTP/1.1" 200 9962
0:0:0:0:0:0:0:1 - - [13/Feb/2024:09:38:57 +0900] "GET /JSPBookProject/resources/assets/js/bootstrap.min.js.map HTTP/1.1" 404 1145
0:0:0:0:0:0:0:1 - - [13/Feb/2024:09:38:57 +0900] "GET /JSPBookProject/resources/assets/css/bootstrap.min.css.map HTTP/1.1" 404 1147
0:0:0:0:0:0:0:1 - - [13/Feb/2024:09:38:57 +0900] "GET /JSPBookProject/resources/assets/css/sourcemaps/tiny-slider.css.map HTTP/1.1" 404 1160
0:0:0:0:0:0:0:1 - - [13/Feb/2024:09:39:05 +0900] "GET /JSPBookProject/scripttest/question03.jsp HTTP/1.1" 200 9962
0:0:0:0:0:0:0:1 - - [13/Feb/2024:09:39:05 +0900] "GET /JSPBookProject/resources/assets/css/bootstrap.min.css.map HTTP/1.1" 404 1147
0:0:0:0:0:0:0:1 - - [13/Feb/2024:09:39:05 +0900] "GET /JSPBookProject/resources/assets/css/sourcemaps/tiny-slider.css.map HTTP/1.1" 404 1160
0:0:0:0:0:0:0:1 - - [13/Feb/2024:09:39:05 +0900] "GET /JSPBookProject/resources/assets/js/bootstrap.min.js.map HTTP/1.1" 404 1145
0:0:0:0:0:0:0:1 - - [13/Feb/2024:09:39:07 +0900] "GET /JSPBookProject/scripttest/question03.jsp HTTP/1.1" 200 9962
