127.0.0.1 - - [15/Apr/2024:09:51:20 +0900] "GET / HTTP/1.1" 404 1119
0:0:0:0:0:0:0:1 - - [15/Apr/2024:09:51:24 +0900] "GET /codingtest/list.do HTTP/1.1" 200 225
0:0:0:0:0:0:0:1 - - [15/Apr/2024:09:51:24 +0900] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [15/Apr/2024:09:51:26 +0900] "GET /codingtest/detail.do HTTP/1.1" 200 170
0:0:0:0:0:0:0:1 - - [15/Apr/2024:09:52:22 +0900] "GET /codingtest/detail.do HTTP/1.1" 200 685
0:0:0:0:0:0:0:1 - - [15/Apr/2024:09:52:24 +0900] "GET /codingtest/detail.do HTTP/1.1" 200 685
0:0:0:0:0:0:0:1 - - [15/Apr/2024:09:52:24 +0900] "GET /codingtest/detail.do HTTP/1.1" 200 685
0:0:0:0:0:0:0:1 - - [15/Apr/2024:09:52:24 +0900] "GET /codingtest/detail.do HTTP/1.1" 200 685
0:0:0:0:0:0:0:1 - - [15/Apr/2024:09:52:25 +0900] "GET /codingtest/detail.do HTTP/1.1" 200 685
0:0:0:0:0:0:0:1 - - [15/Apr/2024:09:52:26 +0900] "GET /codingtest/detail.do HTTP/1.1" 200 685
0:0:0:0:0:0:0:1 - - [15/Apr/2024:09:52:29 +0900] "GET /codingtest/detail.do HTTP/1.1" 200 685
0:0:0:0:0:0:0:1 - - [15/Apr/2024:09:52:29 +0900] "GET /codingtest/detail.do HTTP/1.1" 200 685
0:0:0:0:0:0:0:1 - - [15/Apr/2024:09:52:29 +0900] "GET /codingtest/detail.do HTTP/1.1" 200 685
0:0:0:0:0:0:0:1 - - [15/Apr/2024:09:52:30 +0900] "GET /codingtest/detail.do HTTP/1.1" 200 685
0:0:0:0:0:0:0:1 - - [15/Apr/2024:09:52:30 +0900] "GET /codingtest/detail.do HTTP/1.1" 200 685
0:0:0:0:0:0:0:1 - - [15/Apr/2024:09:52:30 +0900] "GET /codingtest/detail.do HTTP/1.1" 200 685
0:0:0:0:0:0:0:1 - - [15/Apr/2024:10:43:33 +0900] "GET /codingtest/detail.do HTTP/1.1" 200 685
0:0:0:0:0:0:0:1 - - [15/Apr/2024:10:46:50 +0900] "GET /codingtest/detail.do HTTP/1.1" 200 655
0:0:0:0:0:0:0:1 - - [15/Apr/2024:10:46:50 +0900] "GET /ace-builds/src-noconflict/ace.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [15/Apr/2024:10:49:20 +0900] "GET /codingtest/detail.do HTTP/1.1" 200 368
0:0:0:0:0:0:0:1 - - [15/Apr/2024:10:49:22 +0900] "GET /codingtest/detail.do HTTP/1.1" 200 368
